"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.505434487E2,6.126847136E1,2.402993641E1,1.037537284E2,1.490000010E0,2.548000031E2,3.790092468E0,2.500000000E0
1.515430873E2,6.126846723E1,2.402990986E1,1.036770520E2,1.490000010E0,2.535000000E2,3.790092468E0,2.500000000E0
1.525432018E2,6.126846358E1,2.402988193E1,1.037157316E2,1.570000052E0,2.558999939E2,3.790092468E0,2.500000000E0
1.535433974E2,6.126845932E1,2.402985531E1,1.035317552E2,1.500000000E0,2.533000031E2,3.790092468E0,2.500000000E0
1.545433106E2,6.126845528E1,2.402983025E1,1.036532607E2,1.409999967E0,2.548999939E2,3.790092468E0,2.500000000E0
1.555432994E2,6.126845273E1,2.402980421E1,1.039578112E2,1.429999948E0,2.578999939E2,3.790092468E0,2.500000000E0
1.565434933E2,6.126845003E1,2.402977860E1,1.040209678E2,1.480000019E0,2.551999969E2,3.790092468E0,2.500000000E0
1.575428188E2,6.126844643E1,2.402975210E1,1.041995407E2,1.490000010E0,2.553999939E2,3.790092468E0,2.500000000E0
1.585430983E2,6.126844324E1,2.402972599E1,1.039265761E2,1.450000048E0,2.562000122E2,3.790092468E0,2.500000000E0
1.595428774E2,6.126844015E1,2.402970071E1,1.037982043E2,1.429999948E0,2.566000061E2,3.790092468E0,2.500000000E0
1.605430096E2,6.126843602E1,2.402967590E1,1.036128251E2,1.480000019E0,2.521999969E2,3.790092468E0,2.500000000E0
1.615431767E2,6.126843081E1,2.402964961E1,1.037846831E2,1.490000010E0,2.533000031E2,3.790092468E0,2.500000000E0
1.625433717E2,6.126842594E1,2.402962438E1,1.038675527E2,1.440000057E0,2.536000061E2,3.790092468E0,2.500000000E0
1.635429220E2,6.126842212E1,2.402960038E1,1.036425623E2,1.500000000E0,2.568999939E2,3.790092468E0,2.500000000E0
1.645433578E2,6.126841799E1,2.402957657E1,1.034831845E2,1.470000029E0,2.518999939E2,3.790092468E0,2.500000000E0
1.655429963E2,6.126841474E1,2.402955301E1,1.034955605E2,1.440000057E0,2.571000061E2,3.790092468E0,2.500000000E0
1.665435582E2,6.126841040E1,2.402952907E1,1.033807382E2,1.470000029E0,2.490000000E2,3.790092468E0,2.500000000E0
1.675435582E2,6.126840576E1,2.402950501E1,1.032259987E2,1.419999957E0,2.508000031E2,3.790092468E0,2.500000000E0
1.685432031E2,6.126840151E1,2.402948001E1,1.033338932E2,1.399999976E0,2.551999969E2,3.790092468E0,2.500000000E0
1.695432291E2,6.126839824E1,2.402945370E1,1.034957429E2,1.470000029E0,2.595000000E2,3.790092468E0,2.500000000E0
1.705427068E2,6.126839616E1,2.402942726E1,1.036553350E2,1.470000029E0,2.630000000E2,3.790092468E0,2.500000000E0
1.715434079E2,6.126839385E1,2.402940062E1,1.035120094E2,1.460000038E0,2.570000000E2,3.790092468E0,2.500000000E0
1.725429206E2,6.126839020E1,2.402937459E1,1.034731143E2,1.470000029E0,2.541000061E2,3.790092468E0,2.500000000E0
1.735427362E2,6.126838695E1,2.402934888E1,1.030948032E2,1.450000048E0,2.535000000E2,3.790092468E0,2.500000000E0
1.745436716E2,6.126838387E1,2.402932304E1,1.030393680E2,1.490000010E0,2.551000061E2,3.790092468E0,2.500000000E0
1.755430514E2,6.126837956E1,2.402929754E1,1.027637174E2,1.480000019E0,2.496000061E2,3.790092468E0,2.500000000E0
1.765427632E2,6.126837567E1,2.402927265E1,1.026894833E2,1.440000057E0,2.551999969E2,3.790092468E0,2.500000000E0
1.775428958E2,6.126837179E1,2.402924634E1,1.025659321E2,1.480000019E0,2.493999939E2,3.790092468E0,2.500000000E0
1.785433539E2,6.126836822E1,2.402922044E1,1.023127427E2,1.480000019E0,2.508999939E2,3.790092468E0,2.500000000E0
1.795431723E2,6.126836444E1,2.402919482E1,1.021094190E2,1.480000019E0,2.461000061E2,3.790092468E0,2.500000000E0
1.805431486E2,6.126836162E1,2.402916838E1,1.017954389E2,1.490000010E0,2.596000061E2,3.790092468E0,2.500000000E0
1.815431598E2,6.126835984E1,2.402913944E1,1.017979255E2,1.539999962E0,2.602999878E2,3.790092468E0,2.500000000E0
1.825431145E2,6.126835734E1,2.402911380E1,1.019151593E2,1.389999986E0,2.516000061E2,3.790092468E0,2.500000000E0
1.835434280E2,6.126835352E1,2.402908884E1,1.018867627E2,1.460000038E0,2.493999939E2,3.790092468E0,2.500000000E0
1.845426798E2,6.126834921E1,2.402906219E1,1.020245025E2,1.509999990E0,2.491999969E2,3.790092468E0,2.500000000E0
1.855433875E2,6.126834552E1,2.402903461E1,1.022176013E2,1.480000019E0,2.546000061E2,3.790092468E0,2.500000000E0
1.865432395E2,6.126834251E1,2.402900792E1,1.020093948E2,1.460000038E0,2.556000061E2,3.790092468E0,2.500000000E0
1.875428510E2,6.126833915E1,2.402898109E1,1.021319985E2,1.379999995E0,2.562999878E2,3.790092468E0,2.500000000E0
1.885428685E2,6.126833616E1,2.402895595E1,1.017542982E2,1.429999948E0,2.556999969E2,3.790092468E0,2.500000000E0
1.895427948E2,6.126833246E1,2.402892994E1,1.014640602E2,1.480000019E0,2.541999969E2,3.790092468E0,2.500000000E0
1.905432941E2,6.126832762E1,2.402890279E1,1.011174245E2,1.519999981E0,2.495000000E2,3.790092468E0,2.500000000E0
1.915431646E2,6.126832257E1,2.402887951E1,1.007172016E2,1.440000057E0,2.496999969E2,3.790092468E0,2.500000000E0
1.925430602E2,6.126831873E1,2.402885654E1,1.007789549E2,1.399999976E0,2.511999969E2,3.790092468E0,2.500000000E0
1.935430501E2,6.126831524E1,2.402883281E1,1.008502295E2,1.429999948E0,2.531000061E2,3.790092468E0,2.500000000E0
1.945434726E2,6.126831318E1,2.402880732E1,1.008087723E2,1.440000057E0,2.597000122E2,3.790092468E0,2.500000000E0
1.955430123E2,6.126830999E1,2.402878174E1,1.007776903E2,1.460000038E0,2.523999939E2,3.790092468E0,2.500000000E0
1.965433712E2,6.126830618E1,2.402875777E1,1.008632468E2,1.389999986E0,2.533000031E2,3.790092468E0,2.500000000E0
1.975433572E2,6.126830245E1,2.402873390E1,1.008130612E2,1.399999976E0,2.525000000E2,3.790092468E0,2.500000000E0
1.985428151E2,6.126829882E1,2.402871064E1,1.006332984E2,1.399999976E0,2.558000031E2,3.790092468E0,2.500000000E0
1.995431327E2,6.126829444E1,2.402868672E1,1.007452827E2,1.450000048E0,2.528000031E2,3.790092468E0,2.500000000E0
2.005431182E2,6.126828981E1,2.402866300E1,1.009175087E2,1.389999986E0,2.543000031E2,3.790092468E0,2.500000000E0
2.015430915E2,6.126828462E1,2.402864048E1,1.011058481E2,1.379999995E0,2.476999969E2,3.790092468E0,2.500000000E0
2.025435599E2,6.126828037E1,2.402861694E1,1.007930891E2,1.389999986E0,2.576000061E2,3.790092468E0,2.500000000E0
2.035432360E2,6.126827665E1,2.402859227E1,1.010804275E2,1.419999957E0,2.530000000E2,3.790092468E0,2.500000000E0
2.045428100E2,6.126827254E1,2.402857001E1,1.009924007E2,1.389999986E0,2.521999969E2,3.790092468E0,2.500000000E0
2.055435763E2,6.126826991E1,2.402854539E1,1.010578161E2,1.450000048E0,2.643999939E2,3.790092468E0,2.500000000E0
2.065431567E2,6.126826825E1,2.402852023E1,1.007517720E2,1.289999962E0,2.632000122E2,3.790092468E0,2.500000000E0
2.075434328E2,6.126826455E1,2.402849460E1,1.008121202E2,1.470000029E0,2.528999939E2,3.790092468E0,2.500000000E0
2.085428441E2,6.126826017E1,2.402846911E1,1.011819162E2,1.429999948E0,2.553999939E2,3.790092468E0,2.500000000E0
2.095428706E2,6.126825689E1,2.402844265E1,1.009396520E2,1.419999957E0,2.541999969E2,3.790092468E0,2.500000000E0
2.105431665E2,6.126825293E1,2.402841540E1,1.009438469E2,1.490000010E0,2.553999939E2,3.790092468E0,2.500000000E0
2.115429110E2,6.126824833E1,2.402838794E1,1.009683659E2,1.460000038E0,2.503999939E2,3.790092468E0,2.500000000E0
